Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
386,83.508,4.994,0,1077248,12162457600,11773034496,2222395392,37821116416
387,84.086,5.234,0,1712128,12325711872,11580391424,2222411776,37848203264
388,17.425,1.945,0,1687552,12401696768,11499851776,2222456832,37848457216
389,14.971,3.226,0,32223232,12245024768,11661324288,2222571520,37849026560
390,12.729,5.283,344064,68472832,12049739776,11855577088,2222624768,37856112640
391,14.065,5.467,327680,8372224,11123351552,12772757504,2222714880,37866786816
392,13.915,2.882,327680,61227008,11222986752,12665184256,2222759936,37875892224
393,13.328,2.085,0,823296,10967367680,12891275264,2222764032,37903335424
394,12.154,3.473,0,32210944,10963382272,13118431232,2222776320,37690408960
395,18.235,6.453,0,21405696,10373939200,13714722816,2222809088,37689196544
396,18.391,6.452,16384,28172288,9708797952,14388547584,2222886912,37688971264
397,14.609,6.656,16384,10387456,9724035072,14377857024,2222972928,37689163776
398,25.073,7.014,5505024,40525824,9917034496,14393774080,2223046656,37489041408
399,19.891,4.513,3407872,109854720,9327886336,14857261056,2223087616,37611839488
400,24.79,6.586,425984,116609024,9344233472,14766141440,2223112192,37688045568
401,49.788,12.797,0,17330176,9330061312,15235768320,2223153152,37245296640
402,54.476,10.946,0,35799040,8693641216,15867838464,2223181824,37257150464
403,72.913,8.135,32768,102141952,8962412544,15461330944,2223185920,37395791872
404,26.322,5.416,4177920,104648704,8344952832,16079237120,2223214592,37396189184
405,26.782,8.941,4620288,86151168,8398344192,15959773184,2223259648,37468221440
406,37.035,10.98,16384,24018944,7970381824,16602660864,2223325184,37261025280
407,53.393,16.28,16384,36544512,8323047424,16474324992,2223357952,37045067776
408,52.399,8.803,8781824,105062400,8454635520,16065208320,2223398912,37310177280
409,58.361,5.617,344064,221188096,8528793600,15944798208,2223398912,37350801408
410,60.716,9.6,8781824,80756736,8634474496,15752159232,2223452160,37437276160
411,41.67,9.896,0,109842432,8953888768,15506243584,2223484928,37361278976
412,62.526,15.885,0,22306816,9422745600,15093039104,2223517696,37303771136
413,65.642,10.073,0,155156480,9702490112,14693855232,2223529984,37421580288
414,78.014,8.319,17612800,60006400,9378484224,14920503296,2223542272,37510844416
415,82.415,8.644,0,154255360,9512697856,14618517504,2223562752,37675614208
416,77.444,8.506,0,100442112,9663459328,14512549888,2223579136,37630353408
