Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
209,0.417,1.208,0,0,6629924864,11803869184,2892181504,41605738496
210,0.417,1.250,0,0,6629769216,11804061696,2892181504,41605742592
211,0.583,0.583,0,36864,6628818944,11804995584,2892181504,41605742592
212,5.169,2.835,0,4984832,5991792640,12449439744,2892185600,41605832704
213,4.103,3.440,16384,4472832,5966811136,12480765952,2892185600,41605668864
214,0.334,1.293,0,0,5966278656,12481425408,2892185600,41605664768
215,0.292,1.167,0,16384,5966827520,12480876544,2892185600,41605664768
216,0.292,0.292,0,0,5966135296,12481568768,2892185600,41605664768
217,3.577,3.411,0,2928640,5856235520,12822736896,2892185600,41381351424
218,4.130,2.044,0,16584704,5874163712,12777074688,2892185600,41408872448
219,10.385,7.077,0,20500480,5974724608,12674367488,2892185600,41409884160
220,17.194,3.789,0,24707072,6170066944,12449423360,2892185600,41433497600
221,20.314,3.434,0,31514624,6334369792,12278968320,2892193792,41438232576
222,30.345,4.151,0,6889472,6508109824,12129161216,2892201984,41411387392
223,38.586,4.740,0,54566912,6651920384,11937136640,2892201984,41456029696
224,49.267,5.572,16384,1466368,6797881344,11679313920,2892201984,41565671424
225,7.737,1.373,0,360448,6810644480,11660169216,2892201984,41571758080
226,4.075,1.164,4489216,23244800,6667018240,11797110784,2892201984,41578172416
227,5.102,1.535,0,0,6666682368,11796897792,2892201984,41578315776
228,3.990,1.538,0,1277952,6723977216,11739635712,2892201984,41578315776
229,0.751,1.793,0,0,6726709248,11736592384,2892201984,41578479616
230,0.834,0.875,0,0,6701809664,11761225728,2892201984,41578622976
231,0.626,0.877,0,0,6704263168,11758530560,2892201984,41578938368
232,2.540,1.873,0,2265088,6641713152,11821572096,2892201984,41578364928
233,4.621,1.291,0,0,6654742528,11808456704,2892201984,41578385408
234,3.086,1.334,0,1261568,6701985792,11761168384,2892201984,41578389504
235,0.375,0.625,0,16384,6703845376,11759316992,2892201984,41578389504
236,0.542,1.000,0,0,6702424064,11760734208,2892201984,41578409984
237,0.666,1.415,0,0,6702211072,11760906240,2892201984,41578434560
238,0.500,1.501,0,0,6698328064,11765391360,2892201984,41578438656
239,2.129,1.586,0,520192,6716100608,11747352576,2892201984,41578487808
240,4.716,0.543,0,253952,6751203328,11710795776,2892201984,41578500096
241,2.333,1.458,32768,11931648,6759235584,11701895168,2892201984,41578565632
242,4.451,1.581,32768,3645440,6784937984,11675865088,2892201984,41578647552
243,5.160,1.789,0,536576,6851592192,11609202688,2892201984,41578655744
244,3.420,1.585,0,0,6887624704,11573108736,2892201984,41578659840
245,2.883,0.878,0,16384,6916415488,11544236032,2892201984,41578676224
246,2.799,1.838,0,12288,6947266560,11513303040,2892201984,41578684416
247,3.082,1.791,0,0,6978789376,11481796608,2892201984,41578692608
248,2.674,1.839,0,135168,7008763904,11451809792,2892201984,41578704896
249,3.592,1.211,0,0,7029334016,11431215104,2892201984,41578713088
250,3.369,1.206,0,466944,7017496576,11443044352,2892201984,41578721280
251,4.788,2.206,0,5726208,6652125184,11808415744,2892201984,41578754048
252,4.471,1.588,0,3162112,6709633024,11750768640,2892201984,41578754048
253,5.121,1.707,0,0,6756712448,11703529472,2892201984,41578758144
254,5.338,1.251,0,249856,6799278080,11660963840,2892201984,41578758144
255,5.050,1.252,0,16384,6870155264,11590021120,2892201984,41578766336
256,3.300,1.671,0,12288,6903111680,11556990976,2892201984,41578766336
257,3.371,1.665,0,6086656,6937026560,11523121152,2892201984,41578778624
258,2.592,1.756,0,0,6967922688,11492233216,2892201984,41578778624
259,2.547,1.086,0,225280,7001296896,11458785280,2892201984,41578778624
260,3.095,1.506,0,0,7028715520,11431366656,2892201984,41578778624
261,3.126,1.584,0,0,7051509760,11408592896,2892201984,41578782720
262,4.564,2.448,0,172032,6617776128,11842351104,2892201984,41578782720
263,4.689,1.743,0,0,6686072832,11773943808,2892201984,41578795008
264,5.131,0.709,0,0,6730584064,11729383424,2892201984,41578795008
265,4.580,1.624,0,16384,6772678656,11687088128,2892201984,41578799104
266,5.477,2.075,0,208896,6642700288,11817037824,2892201984,41578819584
